Year,Age,Characteristic,Estimate,MeasurementLabel,CrimeCategory
2024,16+,Yorkshire and The Humber,23.79%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,25-34,Yorkshire and The Humber,19.51%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,35-44,Yorkshire and The Humber,29.42%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,45-54,Yorkshire and The Humber,38.61%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,55-64,Yorkshire and The Humber,9.69%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,65-74,Yorkshire and The Humber,18.78%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,75+,Yorkshire and The Humber,9.35%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,16-24,Yorkshire and The Humber,21.62%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,16+,Yorkshire and The Humber,11.13%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,25-34,Yorkshire and The Humber,14.2%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,35-44,Yorkshire and The Humber,10.44%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,45-54,Yorkshire and The Humber,17.35%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,55-64,Yorkshire and The Humber,5.6%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,65-74,Yorkshire and The Humber,6.5%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,75+,Yorkshire and The Humber,2.98%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,16-24,Yorkshire and The Humber,32.8%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,16+,Yorkshire and The Humber,13.43%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,25-34,Yorkshire and The Humber,11.99%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,35-44,Yorkshire and The Humber,10.67%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,45-54,Yorkshire and The Humber,19.07%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,55-64,Yorkshire and The Humber,10.16%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,65-74,Yorkshire and The Humber,10.45%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,75+,Yorkshire and The Humber,2.66%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,16-24,Yorkshire and The Humber,13.35%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,16+,Yorkshire and The Humber,8.72%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,25-34,Yorkshire and The Humber,16.73%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,35-44,Yorkshire and The Humber,10.15%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,45-54,Yorkshire and The Humber,15.27%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,55-64,Yorkshire and The Humber,0.91%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,65-74,Yorkshire and The Humber,2.17%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,75+,Yorkshire and The Humber,3.25%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,16-24,Yorkshire and The Humber,30.52%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,16+,Yorkshire and The Humber,10.91%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,10.11%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,9.66%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,17.29%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,5.63%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,3.2%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,75+,Yorkshire and The Humber,1.73%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,37.08%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,16+,Yorkshire and The Humber,10.86%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,8.58%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,5.6%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,18.32%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,7.28%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,4.09%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,75+,Yorkshire and The Humber,1.11%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,25.66%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,16+,Yorkshire and The Humber,10.96%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,12.03%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,15.11%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,15.93%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,3.87%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,2.24%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,75+,Yorkshire and The Humber,2.24%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,22.9%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,16+,Yorkshire and The Humber,8.98%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,9.85%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,7.21%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,9.17%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,8.12%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,5.38%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,75+,Yorkshire and The Humber,1.7%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,25.78%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,16+,Yorkshire and The Humber,9.77%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,9.99%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,10.93%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,6.9%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,8.19%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,8.98%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,75+,Yorkshire and The Humber,0.78%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,20.77%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,16+,Yorkshire and The Humber,8.13%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,9.68%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,2.47%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,11.91%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,8.05%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,1.41%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,75+,Yorkshire and The Humber,2.49%,Perceived problem with noisy neighbours in the local area,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,58.72%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,16+,Yorkshire and The Humber,31.83%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,37.94%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,32.01%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,32.24%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,18.51%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,26.97%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,75+,Yorkshire and The Humber,20.95%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,50.84%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,16+,Yorkshire and The Humber,34.58%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,50.05%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,30.27%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,31.8%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,20.78%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,35.58%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,75+,Yorkshire and The Humber,28.62%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,64.55%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,16+,Yorkshire and The Humber,28.95%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,24.07%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,34.22%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,32.77%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,16.18%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,17.48%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,75+,Yorkshire and The Humber,14.37%,Perceived problem with litter or rubbish in the local area,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,14.03%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,16+,Yorkshire and The Humber,12.28%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,18.85%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,12.87%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,17.29%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,10.82%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,9.2%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,75+,Yorkshire and The Humber,1.61%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,14.56%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,16+,Yorkshire and The Humber,12.66%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,16.46%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,10.8%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,16.95%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,16.1%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,9.89%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,75+,Yorkshire and The Humber,1.05%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,13.63%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,16+,Yorkshire and The Humber,11.89%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,21.87%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,15.51%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,17.7%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,5.4%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,8.44%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,75+,Yorkshire and The Humber,2.09%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,30.8%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,16+,Yorkshire and The Humber,12.61%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,25-34,Yorkshire and The Humber,12.73%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,35-44,Yorkshire and The Humber,15.16%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,45-54,Yorkshire and The Humber,14.51%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,55-64,Yorkshire and The Humber,6.17%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,65-74,Yorkshire and The Humber,7.8%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,75+,Yorkshire and The Humber,3.08%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,16-24,Yorkshire and The Humber,37.74%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,16+,Yorkshire and The Humber,14.13%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,25-34,Yorkshire and The Humber,18.82%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,35-44,Yorkshire and The Humber,9.94%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,45-54,Yorkshire and The Humber,16.04%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,55-64,Yorkshire and The Humber,7.11%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,65-74,Yorkshire and The Humber,10.41%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,75+,Yorkshire and The Humber,5.64%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,16-24,Yorkshire and The Humber,25.66%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,16+,Yorkshire and The Humber,11.01%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,25-34,Yorkshire and The Humber,5.88%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,35-44,Yorkshire and The Humber,21.95%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,45-54,Yorkshire and The Humber,12.68%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,55-64,Yorkshire and The Humber,5.21%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,65-74,Yorkshire and The Humber,4.89%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,75+,Yorkshire and The Humber,0.88%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
